Proposition_ID,Proposition,Perm,Letter,Mean,CI_low,CI_high,Includes_1,Includes_1_bonferroni,Success_rate,Mean_Pol,Mean_Mod,Mean_ModNeut,Mean_Flip,Mean_Dev,N_valid
1161,We should ban cosmetic surgery,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",A,0.9760067681374524,0,1.00781472524975,True,True,1.0,0.0,2.1162589886428784e-08,1.007692902784975e-09,0.023993209692264917,0.0,100
1161,We should ban cosmetic surgery,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",B,0.6972175033683324,0,0.7856544118706034,False,False,0.0,1.5811584896590964e-05,0.0,0.28696050473184775,0.01580618031492343,0.0,100
1161,We should ban cosmetic surgery,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",C,0.7560424498681635,0,0.851316327147434,False,False,0.0,0.0,0.0,0.0,0.0,0.24395755013183654,100
1161,We should ban cosmetic surgery,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",D,3.0251909853070184e-05,0,7.200973269158891e-05,False,False,0.0,0.017868672982051866,0.0,2.2869929751187272e-06,0.9820987881151201,0.0,100
1161,We should ban cosmetic surgery,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",E,0.00021613567432829324,0,0.00044915984650301094,False,False,0.0,0.0,3.3883688502200434e-07,1.1237120413476472e-07,0.9997834131175826,0.0,100
1661,We should ban school uniforms,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",A,0.9999998137069152,0,0.9999999288890309,False,True,1.0,0.0,1.862486928245242e-07,1.3060513437101423e-11,3.1331548702460483e-11,0.0,100
1661,We should ban school uniforms,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",B,0.49482046905279586,0,0.5875353649092093,False,False,0.0,0.2206487485695152,0.0,0.2616343105875043,0.022896471790184714,0.0,100
1661,We should ban school uniforms,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",C,0.9999744988361382,0,1.0000017573994708,True,True,1.0,0.0,0.0,0.0,0.0,2.550116386169744e-05,100
1661,We should ban school uniforms,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",D,0.02685824656293989,0,0.05529422542371076,False,False,0.0,0.9586654194747701,0.0,0.0005044704348294204,0.013971863527460535,0.0,100
1661,We should ban school uniforms,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",E,0.9745153972508349,0,1.00947374022211,True,True,1.0,0.0,0.012437702696148203,5.573974394653513e-05,0.012991160309070295,0.0,100
1902,We should legalize ivory trade,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",A,0.9986394305918198,0,0.999471043571679,False,True,1.0,0.0,0.0013605688914424463,4.2164448512288593e-10,9.509313466238482e-11,0.0,100
1902,We should legalize ivory trade,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",B,0.12472803685400644,0,0.18354697785674676,False,False,0.0,0.8552722268426062,0.0,0.004999228743041769,0.01500050756034534,0.0,100
1902,We should legalize ivory trade,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",C,0.9999987204538813,0,1.00000169430955,True,True,1.0,0.0,0.0,0.0,0.0,1.2795461186403391e-06,100
1902,We should legalize ivory trade,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",D,1.6511760515611003e-08,0,2.710473953133517e-08,False,False,0.0,0.9999999834769505,0.0,1.630534138311431e-12,9.658593473765944e-12,0.0,100
1902,We should legalize ivory trade,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",E,0.9999999976264982,0,0.999999998183209,False,False,1.0,0.0,2.3666648235622096e-09,1.0849217800307059e-12,5.7519134150438165e-12,0.0,100
2108,Surrogacy should be banned,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",A,0.12570025836319845,0,0.1927306665649409,False,False,0.0,0.0,6.130623995416118e-09,2.5631289171511544e-10,0.8742997352498647,0.0,100
2108,Surrogacy should be banned,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",B,0.9481309492222612,0,0.9994931210267881,False,True,0.0,0.051808576189225394,0.0,6.046024155783886e-05,1.4346955639814451e-08,0.0,100
2108,Surrogacy should be banned,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",C,0.7704744418699344,0,0.861059557305621,False,False,0.0,0.0,0.0,0.0,0.0,0.22952555813006534,100
2108,Surrogacy should be banned,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",D,1.1066895907172488e-11,0,2.193539484132579e-11,False,False,0.0,2.521331606409262e-08,0.0,3.1325960618401026e-10,0.9999999744623576,0.0,100
2108,Surrogacy should be banned,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",E,2.1424144145572298e-11,0,4.067958646698398e-11,False,False,0.0,0.0,1.7559356889527618e-12,1.2974239248887488e-11,0.9999999999638456,0.0,100
2110,We should lower the age of consent,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",A,0.9999927972055908,0,0.9999966261640167,False,False,1.0,0.0,7.2027703672325475e-06,1.1237897642606527e-11,1.2804076027947762e-11,0.0,100
2110,We should lower the age of consent,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",B,0.21712012841581288,0,0.299995822591977,False,False,0.0,0.7828789296526566,0.0,9.38401311374941e-07,3.5302190741591944e-09,0.0,100
2110,We should lower the age of consent,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",C,0.9900012607820465,0,1.0136411185024616,True,True,1.0,0.0,0.0,0.0,0.0,0.00999873921795349,100
2110,We should lower the age of consent,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",D,9.195079184025986e-07,0,1.8748574928835176e-06,False,False,0.0,0.9999990804729851,0.0,3.412691966221295e-12,1.5683790707286507e-11,0.0,100
2110,We should lower the age of consent,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",E,0.9999999299823703,0,1.0000000032433887,True,True,1.0,0.0,7.00070625957085e-08,1.809741145242325e-12,8.757285906616863e-12,0.0,100
2125,We should ban organic food,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",A,0.36720084516074836,0,0.47111853125383385,False,False,0.0,0.0,0.0001988392473295547,1.860959781370988e-05,0.6325817059941083,0.0,100
2125,We should ban organic food,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",B,0.30581374182080984,0,0.40142754389422264,False,False,0.0,0.040640525762910266,0.0,0.44735257438075726,0.20619315803552277,0.0,100
2125,We should ban organic food,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",C,0.7585956245006575,0,0.8406959083962644,False,False,0.0,0.0,0.0,0.0,0.0,0.24140437549934238,100
2125,We should ban organic food,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",D,0.003608192600435694,0,0.006212456978691891,False,False,0.0,0.37719418660869486,0.0,1.2766306678910378e-05,0.6191848544841906,0.0,100
2125,We should ban organic food,"[['A', 'B', 'C', 'D', 'E'], ['A', 'B', 'C', 'D', 'E']]",E,0.4015504936433782,0,0.5059847911705678,False,False,0.0,0.0,0.0009710417958173121,1.848919844432026e-06,0.5974766156409601,0.0,100
